"[13101112726A]등급별","등급별","[13101112726B]도매시장별","도매시장별","[Item]항목","항목","단위","2016. 04 월","2016. 03 월","2016. 02 월","2016. 01 월","2015. 12 월","2015. 11 월","2015. 10 월","2015. 09 월","2015. 08 월","2015. 07 월","2015. 06 월","2015. 05 월","2015. 04 월","2015. 03 월","2015. 02 월","2015. 01 월","2014. 12 월","2014. 11 월","2014. 10 월","2014. 09 월","2014. 08 월","2014. 07 월","2014. 06 월","2014. 05 월","2014. 04 월","2014. 03 월","2014. 02 월","2014. 01 월","2013. 12 월","2013. 11 월","2013. 10 월","2013. 09 월","2013. 08 월","2013. 07 월","2013. 06 월","2013. 05 월","2013. 04 월","2013. 03 월","2013. 02 월","2013. 01 월","2012. 12 월","2012. 11 월","2012. 10 월","2012. 09 월","2012. 08 월","2012. 07 월","2012. 06 월","2012. 05 월","2012. 04 월","2012. 03 월","2012. 02 월","2012. 01 월","2011. 12 월","2011. 11 월","2011. 10 월","2011. 09 월","2011. 08 월","2011. 07 월","2011. 06 월","2011. 05 월","2011. 04 월","2011. 03 월","2011. 02 월","2011. 01 월",
"13102112726A.001","전체","13102112726B.001","전체","13103112726T1[14STD04355]","두수[두]","두","118847","136114","126099","132269","150794","127071","141427","140368","108540","119915","116659","108250","125774","133955","119947","134056","155155","127244","140337","136941","140275","131330","114001","125793","142682","138437","135861","176166","171897","163727","202465","174502","156719","148439","130894","148467","147295","152492","165008","179579","143539","163723","166413","146297","123548","113526","111178","114665","102476","116531","110919","109736","105306","106723","109090","109398","99411","84476","83413","94509","107374","105729","80814","136175",
"13102112726A.001","전체","13102112726B.001","전체","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","4077","3916","3664","4108","4093","4409","3987","4528","4948","5151","5138","5307","4616","4340","4485","4417","4714","5158","4517","4674","4858","4803","5374","4665","4495","4404","3723","3375","3747","3711","3106","3712","3769","3522","3968","3319","3303","2669","2766","2850","3129","3326","2876","3380","3715","3965","4283","4337","3869","4020","4002","4396","5419","4986","4121","4726","5296","5589","6549","6437","5497","6059","5745","5808",
"13102112726A.001","전체","13102112726B.002","농협서울","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4911","11148",
"13102112726A.001","전체","13102112726B.002","농협서울","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6727","6313",
"13102112726A.001","전체","13102112726B.003","(주)협진","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.001","전체","13102112726B.003","(주)협진","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.001","전체","13102112726B.004","협신식품","13103112726T1[14STD04355]","두수[두]","두","10391","12355","10915","12405","14415","11856","13207","11995","9215","10247","11358","10428","12025","12835","11593","13428","15542","12277","14436","12768","12972","12530","10326","12464","14317","13864","13125","15550","16249","16658","22372","16858","13014","12158","11467","14155","13343","12706","13611","14472","13040","14659","16113","14171","11855","10966","9692","11376","9978","10866","10689","9403","9258","9725","8937","7679","6938","6402","6664","7004","7995","7242","4113","4847",
"13102112726A.001","전체","13102112726B.004","협신식품","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","4914","4632","4034","4759","4830","5209","4498","5037","5961","6259","6080","6291","5310","4948","4894","4772","5395","6029","5054","5348","5698","5617","6512","5506","5032","5125","4187","3736","4002","4119","3231","4135","4580","4411","4805","4078","3894","3267","3105","3097","3541","3998","2922","3463","4523","4737","5353","4883","4431","4483","4534","4808","6277","5789","4587","5520","6469","6765","7820","7507","6155","6847","7006","7347",
"13102112726A.001","전체","13102112726B.005","동원산업","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.001","전체","13102112726B.005","동원산업","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.001","전체","13102112726B.006","부경축공","13103112726T1[14STD04355]","두수[두]","두","18402","21108","21984","20452","23029","18031","19768","21721","16818","17460","18853","17729","19376","22495","18701","20481","22705","19051","19983","19607","16919","16558","15932","19455","20524","20417","18178","23709","22415","20517","26232","23430","21991","19781","19446","22335","20634","18355","20700","23686","20550","22599","18547","","14559","16867","16595","16588","15336","16743","15422","15123","16483","16030","15852","16047","14064","13527","12584","13213","16224","14414","4416","16040",
"13102112726A.001","전체","13102112726B.006","부경축공","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","2937","2837","2778","3118","3295","3351","3069","3540","3589","3723","3604","3609","3618","3371","3857","3917","4250","4413","3799","3981","4063","4147","4512","3927","3935","3655","3188","3168","3440","3055","2656","2879","2808","2728","2945","2669","2643","2308","2393","2382","2674","2660","2486","","2883","3335","3329","3325","3216","3368","3474","3959","4503","4096","3677","4019","4102","4685","5228","5337","4875","5515","5654","5228",
"13102112726A.001","전체","13102112726B.007","신흥산업","13103112726T1[14STD04355]","두수[두]","두","10297","11253","10455","11101","13198","10188","13211","12936","9290","11106","9589","9390","10556","12072","9903","10146","12497","10590","12778","11605","13690","12316","10172","9874","11764","11430","10293","13219","12761","12555","15571","14384","13308","12017","9794","11243","10758","11942","13026","13648","11017","13008","14063","12266","10513","10209","9757","10075","8717","9530","10135","9488","9793","9105","8809","9990","9443","8114","8182","9336","8703","11057","10670","17581",
"13102112726A.001","전체","13102112726B.007","신흥산업","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","3885","3722","3456","3817","3897","4131","3525","3943","4497","4679","4962","5226","4518","4055","4215","4032","4339","4957","4121","4294","4560","4465","5239","4403","4239","4140","3565","3216","3528","3562","2750","3258","3414","3215","3629","3063","3155","2633","2601","2652","3007","3104","2627","3182","3545","3764","3899","4226","3735","3974","3799","4432","5521","4998","3969","4641","5189","5444","6410","6539","5398","5961","5304","5580",
"13102112726A.001","전체","13102112726B.008","삼성식품","13103112726T1[14STD04355]","두수[두]","두","4505","5368","4729","5486","5837","5673","5696","4842","4237","4543","5346","4393","5796","5300","4466","5610","6324","5375","5550","5585","5265","5323","5277","5083","6333","6558","6162","7589","7711","8185","8682","7223","6761","5767","5323","6649","6121","7101","6705","7468","6809","7846","7284","7417","5723","5772","5244","5670","5633","5930","5702","5412","5361","5634","5556","4944","4383","3540","4195","4264","5397","4990","2476","2521",
"13102112726A.001","전체","13102112726B.008","삼성식품","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","4393","4144","3889","4516","4699","4753","4207","5108","5496","5804","5647","5779","4716","4804","4730","4683","5112","5472","4729","4852","5176","5134","5220","4966","4811","4569","3877","3642","4096","3925","3103","4033","4002","3797","4419","3580","3630","2869","2816","2909","3356","3530","2895","3206","4047","4175","4599","4833","4252","4114","4494","4598","6055","5295","4604","5342","5888","6334","7098","6495","5787","6199","6083","6391",
"13102112726A.001","전체","13102112726B.009","삼호축산","13103112726T1[14STD04355]","두수[두]","두","953","1062","1121","958","1273","1094","1422","1317","976","1079","903","977","937","1158","1052","1358","1341","1048","1031","1165","1078","1203","966","1387","1352","1045","1216","1973","1977","1858","1867","1615","1613","1769","1598","1820","1667","1572","1703","1759","1740","1988","1609","2232","1670","1666","1667","1667","1517","1610","1424","1813","1774","1787","1564","1749","1474","1333","1712","2023","2241","2649","1767","3103",
"13102112726A.001","전체","13102112726B.009","삼호축산","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","4160","3871","3528","3943","3942","4252","3453","4506","4872","5009","4875","4752","4448","4122","4341","3914","4528","4963","4290","4588","4570","4261","4773","4153","4000","4402","3340","3045","3204","3148","2689","3713","3595","3284","3672","3281","3287","2643","2712","2607","3053","3058","2651","3029","3411","3704","4018","4030","3690","3818","3763","4099","5142","4442","3670","4600","4965","5142","6163","6119","5162","5691","5466","5176",
"13102112726A.001","전체","13102112726B.010","장원식품","13103112726T1[14STD04355]","두수[두]","두","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"13102112726A.001","전체","13102112726B.010","장원식품","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.001","전체","13102112726B.011","제주축협","13103112726T1[14STD04355]","두수[두]","두","21832","22869","20378","22872","22939","20726","20539","22176","19845","21482","19515","19006","21723","22358","21459","22763","24270","20008","21499","21277","25841","22034","20464","20211","24634","22638","24295","30787","27536","24179","25268","25661","24379","22491","18394","21000","22986","22912","24530","25670","22204","24452","22565","26246","23620","21097","19841","20797","19555","23409","22753","22152","19947","21201","21530","20859","22693","16319","16127","18829","19138","20221","14967","31093",
"13102112726A.001","전체","13102112726B.011","제주축협","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","4942","4783","5003","5748","5297","5479","6186","6847","6724","6874","6688","6783","5800","5717","5804","5732","5800","6063","5848","5857","5642","5808","6116","5496","5241","5215","4320","4181","4495","4480","4699","5090","4940","4512","5449","4379","4157","3225","3463","3701","3947","4119","3930","4668","4837","5009","5610","5338","4525","4791","4417","5053","5940","5469","4671","5490","6223","6440","7494","7068","6230","6542","6051","5952",
"13102112726A.001","전체","13102112726B.012","농협부천","13103112726T1[14STD04355]","두수[두]","두","3601","5735","4086","4987","5593","4750","4159","4305","3859","4792","5004","4766","4753","4542","5694","7171","7933","6118","6384","6669","6521","7229","6214","6732","7321","7768","7541","9173","9808","10043","13267","9830","9648","10311","8981","10953","10182","10721","9895","10831","9313","10352","10831","9849","7593","7479","6996","7224","6097","7796","7041","6844","5884","5996","7089","6355","4471","4043","5277","6506","8002","6382","2456","5301",
