"[A]시도별","시도별","[Item]항목","항목","단위","2016. 1/4","2015. 4/4","2015. 3/4","2015. 2/4","2015. 1/4","2014. 4/4","2014. 3/4","2014. 2/4","2014. 1/4","2013. 4/4","2013. 3/4","2013. 2/4","2013. 1/4","2012. 4/4","2012. 3/4","2012. 2/4","2012. 1/4","2011. 4/4","2011. 3/4","2011. 2/4","2011. 1/4",
"00","전국","T01","합계","","10315230","10186898","10332448","10018102","9971415","10090286","9965693","9679569","9697707","9912204","10188311","10180740","10106531","9915935","9936587","9433059","8851392","8170979","7783312","7329949","7036116",
"00","전국","T02","2개월미만","","3210031","3110391","3155029","3115755","3093859","3043256","3011335","2933885","2921081","2939764","3077778","3115541","3089439","3073475","3075497","2920952","2771899","2585794","2415601","2271620","2149439",
"00","전국","T03","2~4개월","","3182841","3128005","3190673","3085456","2991807","3108329","3102321","2980449","3000432","3129781","3196286","3161348","3108657","3076004","3076769","2940249","2697663","2457495","2339692","2216583","2079354",
"00","전국","T04","4~6개월","","2922005","2957401","2992650","2827138","2898227","2949225","2875564","2788938","2805348","2899600","2972216","2903863","2882495","2749310","2769822","2537404","2375896","2187687","2155065","2003077","2034368",
"00","전국","T05","6~8개월:계","","104580","105322","118057","111116","110056","120187","115344","112663","111528","98784","88455","98346","111678","113435","117610","144286","144370","118751","117233","115152","84932",
"00","전국","T06","6~8개월:암컷","","98030","97543","104564","97561","94470","101324","96573","94349","86578","83343","76694","84513","96356","98723","104770","125740","126901","110064","105956","100160","72778",
"00","전국","T07","6~8개월:수컷","","6550","7779","13493","13555","15586","18863","18771","18314","24950","15441","11761","13833","15322","14712","12840","18546","17469","8687","11277","14992","12154",
"00","전국","T08","8개월이상:계","","895773","885779","876039","878637","877466","869289","861129","863634","859318","844275","853576","901642","914262","903711","896889","890168","861564","821252","755721","723517","688023",
"00","전국","T09","8개월이상:암컷","","879765","869773","860119","862390","861193","853035","844684","846733","842320","826792","835943","882958","895252","884854","876500","870527","842926","803126","738357","706884","672289",
"00","전국","T10","8개월이상:수컷","","16008","16006","15920","16247","16273","16254","16445","16901","16998","17483","17633","18684","19010","18857","20389","19641","18638","18126","17364","16633","15734",
"11","서울특별시","T01","합계","","","0","0","0","0","0","40","41","40","43","42","30","50","60","71","48","41","39","42","63","36",
"11","서울특별시","T02","2개월미만","","","0","0","0","0","0","12","15","10","18","16","0","0","0","11","17","29","8","34","27","0",
"11","서울특별시","T03","2~4개월","","","0","0","0","0","0","9","5","16","2","0","20","8","22","30","18","5","11","0","0","0",
