"[A]시도별","시도별","[B]사육규모별","사육규모별","[Item]항목","항목","단위","2016. 1/4","2015. 4/4","2015. 3/4","2015. 2/4","2015. 1/4","2014. 4/4","2014. 3/4","2014. 2/4","2014. 1/4","2013. 4/4","2013. 3/4","2013. 2/4","2013. 1/4","2012. 4/4","2012. 3/4","2012. 2/4","2012. 1/4","2011. 4/4","2011. 3/4","2011. 2/4","2011. 1/4",
"00","전국","00","합계","T01","가구수","","4761","4909","4973","4966","4946","5177","5174","5315","5441","5636","5918","6067","6130","6040","6404","6525","6444","6347","6164","5952","5705",
"00","전국","00","합계","T02","마리수","","10315230","10186898","10332448","10018102","9971415","10090286","9965693","9679569","9697707","9912204","10188311","10180740","10106531","9915935","9936587","9433059","8851392","8170979","7783312","7329949","7036116",
"00","전국","05","1,000 미만","T01","가구수","","1885","2054","2123","2189","2177","2297","2325","2481","2611","2684","2989","3147","3078","3080","3403","3640","3674","3708","3679","3555","3416",
"00","전국","05","1,000 미만","T02","마리수","","872093","914895","955154","935388","918882","965204","981551","955882","991210","973123","1063084","1123129","1015965","1121291","1106956","1134072","1083725","1015727","1030832","967176","914703",
"00","전국","10","1,000~5,000","T01","가구수","","2474","2466","2457","2404","2383","2505","2486","2491","2496","2602","2566","2571","2705","2624","2664","2565","2494","2386","2256","2192","2084",
"00","전국","10","1,000~5,000","T02","마리수","","5470873","5446042","5448564","5327931","5232582","5448813","5402841","5349948","5392899","5504409","5491419","5539469","5712162","5516852","5564355","5253444","5129272","4833475","4629340","4452354","4216083",
"00","전국","15","5,000~10,000","T01","가구수","","283","276","272","258","272","264","254","242","229","250","250","237","247","233","236","220","192","179","163","144","147",
"00","전국","15","5,000~10,000","T02","마리수","","1883738","1842441","1820667","1733071","1811169","1752692","1687436","1621754","1513454","1659401","1656963","1577156","1641162","1551370","1568227","1421249","1277443","1166448","1075735","946511","980289",
"00","전국","20","10,000 이상","T01","가구수","","119","113","121","115","114","111","109","101","105","100","113","112","100","103","101","100","84","74","66","61","58",
"00","전국","20","10,000 이상","T02","마리수","","2088526","1983520","2108063","2021712","2008782","1923577","1893865","1751985","1800144","1775271","1976845","1940986","1737242","1726422","1697049","1624294","1360952","1155329","1047405","963908","925041",
"11","서울특별시","00","합계","T01","가구수","","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"11","서울특별시","00","합계","T02","마리수","","0","0","0","0","0","0","40","41","40","43","42","30","50","60","71","48","41","39","42","63","36",
"11","서울특별시","05","1,000 미만","T01","가구수","","","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"11","서울특별시","05","1,000 미만","T02","마리수","","","0","0","0","0","0","40","41","40","43","42","30","50","60","71","48","41","39","42","63","36",
"11","서울특별시","10","1,000~5,000","T01","가구수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"11","서울특별시","10","1,000~5,000","T02","마리수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"11","서울특별시","15","5,000~10,000","T01","가구수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"11","서울특별시","15","5,000~10,000","T02","마리수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"11","서울특별시","20","10,000 이상","T01","가구수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"11","서울특별시","20","10,000 이상","T02","마리수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"21","부산광역시","00","합계","T01","가구수","","24","36","49","48","37","37","37","37","38","64","52","52","39","41","53","53","55","55","55","29","28",
"21","부산광역시","00","합계","T02","마리수","","6180","6257","6353","6218","6354","6128","6184","5916","5923","11248","6699","7134","7454","8561","12782","12308","14337","13740","12852","6379","6240",
"21","부산광역시","05","1,000 미만","T01","가구수","","22","34","47","46","35","35","35","35","36","63","51","51","38","40","52","52","54","54","54","28","27",
"21","부산광역시","05","1,000 미만","T02","마리수","","3616","3635","3853","3718","3854","3628","3384","3416","3723","9728","5189","5608","5944","7071","10983","10508","12777","12140","11302","4718","4590",
"21","부산광역시","10","1,000~5,000","T01","가구수","","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1",
"21","부산광역시","10","1,000~5,000","T02","마리수","","2564","2622","2500","2500","2500","2500","2800","2500","2200","1520","1510","1526","1510","1490","1799","1800","1560","1600","1550","1661","1650",
"21","부산광역시","15","5,000~10,000","T01","가구수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"21","부산광역시","15","5,000~10,000","T02","마리수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"21","부산광역시","20","10,000 이상","T01","가구수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"21","부산광역시","20","10,000 이상","T02","마리수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"22","대구광역시","00","합계","T01","가구수","","5","5","5","7","6","7","6","6","7","17","17","17","18","17","18","21","21","25","29","23","23",
"22","대구광역시","00","합계","T02","마리수","","9472","9645","9743","13324","10764","13495","12281","11276","14508","14915","15154","15951","17418","15502","16135","16810","16447","20570","21442","21532","22735",
"22","대구광역시","05","1,000 미만","T01","가구수","","1","1","1","1","1","1","1","1","1","11","11","11","11","11","12","15","15","17","21","15","13",
"22","대구광역시","05","1,000 미만","T02","마리수","","108","102","122","115","126","130","120","120","109","209","289","200","329","429","614","762","730","1386","1538","1960","841",
"22","대구광역시","10","1,000~5,000","T01","가구수","","4","4","4","6","5","6","5","5","6","6","6","6","7","6","6","6","6","8","8","8","10",
"22","대구광역시","10","1,000~5,000","T02","마리수","","9364","9543","9621","13209","10638","13365","12161","11156","14399","14706","14865","15751","17089","15073","15521","16048","15717","19184","19904","19572","21894",
"22","대구광역시","15","5,000~10,000","T01","가구수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"22","대구광역시","15","5,000~10,000","T02","마리수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"22","대구광역시","20","10,000 이상","T01","가구수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"22","대구광역시","20","10,000 이상","T02","마리수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"23","인천광역시","00","합계","T01","가구수","","29","31","31","32","35","32","29","30","31","34","39","36","40","37","36","34","30","30","31","36","25",
"23","인천광역시","00","합계","T02","마리수","","32799","31353","29619","32583","32741","34419","31728","32556","33957","35065","41314","36505","39605","35864","34690","29956","23749","20112","13886","14319","8867",
"23","인천광역시","05","1,000 미만","T01","가구수","","17","20","23","22","24","21","17","16","17","20","25","22","28","25","24","24","20","23","28","34","24",
"23","인천광역시","05","1,000 미만","T02","마리수","","7664","8058","9188","8701","7569","8876","5528","4968","5272","5714","11069","6693","11556","11711","11894","10900","6158","9601","9139","10929","7637",
"23","인천광역시","10","1,000~5,000","T01","가구수","","12","11","8","10","11","11","12","14","14","14","14","14","12","12","12","10","10","7","3","2","1",
"23","인천광역시","10","1,000~5,000","T02","마리수","","25135","23295","20431","23882","25172","25543","26200","27588","28685","29351","30245","29812","28049","24153","22796","19056","17591","10511","4747","3390","1230",
"23","인천광역시","15","5,000~10,000","T01","가구수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"23","인천광역시","15","5,000~10,000","T02","마리수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"23","인천광역시","20","10,000 이상","T01","가구수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"23","인천광역시","20","10,000 이상","T02","마리수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"24","광주광역시","00","합계","T01","가구수","","3","3","4","4","3","2","2","2","1","2","3","4","4","4","5","5","5","14","14","14","14",
"24","광주광역시","00","합계","T02","마리수","","6302","6419","7346","7475","5406","4018","4021","4006","19","3521","6037","7524","7624","7320","8980","9336","8125","6447","6213","6294","6133",
"24","광주광역시","05","1,000 미만","T01","가구수","","1","1","2","2","1","1","1","1","1","1","1","1","1","1","2","2","2","12","12","12","12",
"24","광주광역시","05","1,000 미만","T02","마리수","","10","22","818","829","18","18","21","6","19","21","27","24","18","20","520","630","725","747","713","744","733",
"24","광주광역시","10","1,000~5,000","T01","가구수","","2","2","2","2","2","1","1","1","0","1","2","3","3","3","3","3","3","2","2","2","2",
"24","광주광역시","10","1,000~5,000","T02","마리수","","6292","6397","6528","6646","5388","4000","4000","4000","0","3500","6010","7500","7606","7300","8460","8706","7400","5700","5500","5550","5400",
